Title,Features.Handheld?,Features.Max Players,Features.Multiplatform?,Features.Online?,Metadata.Genres,Metadata.Licensed?,Metadata.Publishers,Metadata.Sequel?,Metrics.Review Score,Metrics.Sales,Metrics.Used Price,Release.Console,Release.Rating,Release.Re-release?,Release.Year,Length.All PlayStyles.Average,Length.All PlayStyles.Leisure,Length.All PlayStyles.Median,Length.All PlayStyles.Polled,Length.All PlayStyles.Rushed,Length.Completionists.Average,Length.Completionists.Leisure,Length.Completionists.Median,Length.Completionists.Polled,Length.Completionists.Rushed,Length.Main + Extras.Average,Length.Main + Extras.Leisure,Length.Main + Extras.Median,Length.Main + Extras.Polled,Length.Main + Extras.Rushed,Length.Main Story.Average,Length.Main Story.Leisure,Length.Main Story.Median,Length.Main Story.Polled,Length.Main Story.Rushed
Dissidia: Final Fantasy,True,1,True,True,"Action,Role-Playing (RPG)",True,SquareEnix,True,79,0.49,17.95,Sony PSP,T,True,2008,63.31666666666667,178.31666666666666,50.0,67,36.65,117.16666666666669,206.65,109.46666666666668,10,72.48333333333333,73.53333333333333,179.3,63.66666666666666,31,48.5,30.433333333333334,40.41666666666666,30.0,26,23.433333333333334
NiGHTS: Journey of Dreams,True,2,True,True,Action,True,Sega,True,69,0.3,14.95,Nintendo Wii,M,True,2007,6.683333333333334,7.083333333333333,6.616666666666667,4,6.316666666666666,0.0,0.0,0.0,0,0.0,7.25,7.25,7.25,1,7.25,6.5,6.883333333333333,6.0,3,6.116666666666666
Guitar Hero III: Legends of Rock,True,2,True,True,"Action,Simulation",True,Activision,True,86,3.19,49.95,Nintendo Wii,T,True,2007,15.183333333333334,56.0,8.833333333333334,86,7.5,18.9,25.716666666666665,24.0,5,13.466666666666669,27.066666666666663,60.63333333333333,15.5,29,12.133333333333333,8.216666666666667,19.05,8.0,52,5.55
Avatar: The Last Airbender,True,1,True,True,Action,True,THQ,True,64,0.3,17.95,Nintendo DS,E,True,2006,4.75,6.433333333333334,5.0,11,2.6,4.066666666666666,6.016666666666667,4.0,5,2.183333333333333,0.0,0.0,0.0,0,0.0,5.333333333333333,6.583333333333333,6.0,6,3.5
Madden NFL 06,True,1,True,True,Sports,True,EA,True,66,0.12,9.95,Nintendo DS,E,True,2005,3.75,5.366666666666666,3.75,2,2.1166666666666667,3.75,5.366666666666666,3.75,2,2.1166666666666667,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0
Ninja Reflex,True,1,True,True,Action,True,EA,True,54,0.08,12.95,Nintendo DS,T,True,2008,3.8333333333333335,3.9166666666666665,3.8333333333333335,2,3.75,3.6666666666666665,3.6666666666666665,3.6666666666666665,1,3.6666666666666665,0.0,0.0,0.0,0,0.0,4.0,4.0,4.0,1,4.0
Bully: Scholarship Edition,True,2,True,True,"Action,Adventure",True,Rockstar,True,83,0.16,17.95,Nintendo Wii,E,True,2008,18.8,28.03333333333333,17.35,251,12.033333333333331,26.58333333333333,32.05,26.0,41,21.633333333333333,19.53333333333333,28.383333333333333,18.0,121,14.95,14.25,21.8,13.2,89,9.85
Legendary,True,1,True,True,Action,True,Atari,True,47,0.07,17.95,X360,T,True,2008,5.85,9.366666666666667,5.633333333333333,57,4.866666666666667,6.683333333333334,7.15,6.916666666666667,5,6.4,7.6,10.016666666666667,6.5,11,5.583333333333333,5.283333333333333,6.483333333333333,5.0,41,4.566666666666666
Alone in the Dark,True,1,True,True,"Action,Adventure,Racing / Driving",True,Atari,True,58,0.12,14.95,X360,M,True,2008,6.6,9.166666666666666,6.116666666666666,18,4.333333333333333,9.15,10.4,8.5,4,8.216666666666667,0.0,0.0,0.0,0,0.0,5.866666666666667,7.533333333333333,6.0,14,4.133333333333334
The Incredible Hulk,True,1,True,True,Action,True,Sega,True,46,0.29,16.95,Nintendo Wii,T,True,2008,5.216666666666667,5.216666666666667,5.216666666666667,1,5.216666666666667,5.216666666666667,5.216666666666667,5.216666666666667,1,5.216666666666667,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0
Tiger Woods PGA Tour 07,True,4,True,True,Sports,True,EA,True,71,0.46,17.95,Nintendo Wii,T,True,2007,10.0,10.0,10.0,1,10.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,10.0,10.0,10.0,1,10.0
Winter Sports: The Ultimate Challenge,True,1,True,True,"Racing / Driving,Sports",True,,True,52,0.47,16.95,Nintendo Wii,E,True,2007,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0
Tom Clancy's Ghost Recon: Advanced Warfighter 2...,True,1,True,True,Action,True,Ubisoft,True,86,0.89,14.95,X360,T,True,2007,8.666666666666666,9.35,8.75,10,7.883333333333333,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,8.666666666666666,9.35,8.75,10,7.883333333333333
Lost: Via Domus,True,1,True,True,"Action,Adventure",True,Ubisoft,True,54,0.17,16.95,PlayStation 3,T,True,2008,5.833333333333333,9.616666666666667,5.633333333333333,30,5.116666666666666,6.566666666666666,9.883333333333333,6.0,12,5.383333333333334,5.333333333333333,5.5,5.333333333333333,2,5.166666666666667,5.35,5.8,5.366666666666666,16,4.933333333333334
Marvel Ultimate Alliance,True,4,True,True,"Action,Role-Playing (RPG)",True,Activision,True,78,0.33,24.95,PlayStation 3,M,True,2006,15.25,27.58333333333333,14.0,68,10.3,25.383333333333333,30.05,24.816666666666663,3,20.73333333333333,17.633333333333333,28.933333333333334,17.0,26,12.85,12.866666666666667,20.633333333333333,12.366666666666667,39,9.3
Need for Speed Underground: Rivals,True,4,True,True,Racing / Driving,True,EA,True,74,0.73,17.95,Sony PSP,E,True,2005,22.366666666666667,28.03333333333333,20.466666666666665,3,16.7,27.566666666666663,31.116666666666667,27.566666666666663,2,24.016666666666666,0.0,0.0,0.0,0,0.0,12.0,12.0,12.0,1,12.0
Viva Pi$?ata: Party Animals,True,4,True,True,Racing / Driving,True,Microsoft,True,56,0.17,14.95,X360,T,True,2007,8.883333333333333,8.883333333333333,8.883333333333333,1,8.883333333333333,8.883333333333333,8.883333333333333,8.883333333333333,1,8.883333333333333,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0
Guitar Hero: On Tour - Decades,True,1,True,True,"Action,Simulation",True,Activision,True,72,0.8,17.95,Nintendo DS,T,True,2008,10.916666666666666,15.45,10.916666666666666,2,6.366666666666666,20.0,20.0,20.0,1,20.0,0.0,0.0,0.0,0,0.0,1.8333333333333333,1.8333333333333333,1.8333333333333333,1,1.8333333333333333
WarioWare Touched!,True,2,True,True,"Action,Racing / Driving,Sports",True,Nintendo,True,81,0.54,22.95,Nintendo DS,E,True,2004,4.566666666666666,11.566666666666666,2.5,57,2.2666666666666666,10.0,14.1,7.25,16,6.8,3.85,5.666666666666667,3.333333333333333,11,2.783333333333333,1.9166666666666663,2.9333333333333336,1.8333333333333333,30,1.4333333333333331
Mega Man Battle Network 5: Double Team DS,True,1,True,True,"Action,Role-Playing (RPG)",True,Capcom,True,68,0.06,17.95,Nintendo DS,E,True,2005,36.23333333333333,48.03333333333333,35.0,13,28.0,48.15,52.75,42.0,3,43.53333333333333,35.4,39.85,34.0,5,32.35,29.916666666666668,34.85,27.48333333333333,5,24.55
NBA 2K7,True,7,True,True,Sports,True,2K,True,80,0.31,7.95,PlayStation 3,E,True,2006,8.183333333333334,8.766666666666667,8.183333333333334,2,7.583333333333333,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,8.183333333333334,8.766666666666667,8.183333333333334,2,7.583333333333333
BattleZone,True,1,True,True,Action,True,Atari,True,57,0.03,14.95,Sony PSP,E,True,2006,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0
Dragon Ball Z: Harukanaru Densetsu,True,1,True,True,Strategy,True,Atari,True,57,0.2,14.95,Nintendo DS,T,True,2007,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0
Chicken Hunter,True,1,True,True,Action,True,,True,39,0.02,17.95,Nintendo DS,T,True,2008,1.5,1.5,1.5,1,1.5,1.5,1.5,1.5,1,1.5,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0
Rayman Raving Rabbids,True,4,True,True,Action,True,Ubisoft,True,76,1.26,17.95,Nintendo Wii,T,True,2006,6.7,8.216666666666667,6.183333333333334,27,5.133333333333334,8.1,8.55,8.1,2,7.65,8.266666666666667,9.1,8.133333333333333,8,6.766666666666667,5.8,6.95,6.0,17,4.866666666666667
Pokmon Diamond,True,1,True,True,Role-Playing (RPG),True,Nintendo,True,85,6.77,27.95,Nintendo DS,E,True,2006,101.06666666666666,386.78333333333336,58.0,253,44.15,265.2,468.31666666666666,220.0,39,163.53333333333333,107.56666666666666,352.31666666666666,80.0,94,58.53333333333333,42.63333333333333,77.13333333333334,41.91666666666666,120,25.516666666666666
The Incredible Hulk,True,1,True,True,Action,True,Sega,True,55,0.21,16.95,PlayStation 3,T,True,2008,5.216666666666667,5.216666666666667,5.216666666666667,1,5.216666666666667,5.216666666666667,5.216666666666667,5.216666666666667,1,5.216666666666667,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0
Bleach: The Blade of Fate,True,1,True,True,Action,True,Sega,True,83,0.31,17.95,Nintendo DS,E,True,2007,18.616666666666667,37.4,9.0,9,8.733333333333333,35.5,48.25,35.5,2,22.75,20.0,26.0,20.0,4,14.0,5.55,6.633333333333333,5.0,3,4.466666666666667
Viewtiful Joe: Double Trouble!,True,1,True,True,Action,True,Capcom,True,73,0.08,14.95,Nintendo DS,E,True,2005,5.166666666666667,5.533333333333333,5.0,5,4.983333333333333,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,5.166666666666667,5.533333333333333,5.0,5,4.983333333333333
MX vs. ATV Untamed,True,1,True,True,Racing / Driving,True,THQ,True,61,0.11,17.95,Nintendo DS,E,True,2007,12.0,12.0,12.0,1,12.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,12.0,12.0,12.0,1,12.0
GripShift,True,1,True,True,Racing / Driving,True,Ubisoft,True,70,0.09,9.95,Sony PSP,E,True,2005,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0
Lair,True,1,True,True,Action,True,Sony,True,53,0.35,19.95,PlayStation 3,E,True,2007,9.283333333333331,11.316666666666666,10.0,10,7.566666666666666,0.0,0.0,0.0,0,0.0,11.0,11.5,11.0,2,10.5,8.866666666666667,10.95,8.966666666666667,8,7.2
Eragon,True,1,True,True,"Action,Role-Playing (RPG)",True,,True,63,0.14,16.95,Nintendo DS,E,True,2006,8.833333333333334,12.7,8.0,11,5.583333333333333,11.666666666666666,13.916666666666666,10.0,6,9.416666666666666,0.0,0.0,0.0,0,0.0,5.433333333333334,6.35,6.0,5,4.233333333333333
Ridge Racer,True,1,True,True,Racing / Driving,True,Namco,True,88,0.36,19.95,Sony PSP,E,True,2004,0.8166666666666667,1.05,0.8833333333333333,6,0.5833333333333334,1.25,1.25,1.25,1,1.25,0.8833333333333333,0.9333333333333332,0.8833333333333333,2,0.8333333333333334,0.6166666666666667,0.7833333333333333,0.5333333333333333,3,0.45
Final Fantasy IV,True,1,True,True,Role-Playing (RPG),True,SquareEnix,True,85,0.48,17.95,Nintendo DS,T,True,2007,38.333333333333336,61.35,35.38333333333333,152,24.83333333333333,55.65,68.25,52.0,16,42.7,40.03333333333333,62.73333333333333,39.21666666666667,76,29.966666666666665,31.55,50.06666666666667,31.08333333333333,60,22.066666666666663
Major League Baseball 2K6,True,2,True,True,Sports,True,2K,True,66,0.37,4.95,X360,T,True,2006,7.65,9.9,8.0,3,5.4,7.65,9.9,8.0,3,5.4,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0
Rhythm Heaven,True,1,True,True,Action,True,Nintendo,True,83,0.45,24.95,Nintendo DS,T,True,2008,9.116666666666667,16.933333333333334,8.666666666666666,27,5.683333333333334,19.416666666666668,22.433333333333334,20.35,4,15.933333333333334,8.816666666666666,11.95,8.716666666666667,11,6.283333333333333,5.966666666666667,8.6,4.45,12,3.85
Metroid Prime: Hunters,True,1,True,True,Action,True,Nintendo,True,85,0.58,27.95,Nintendo DS,E,True,2006,9.3,13.766666666666667,8.733333333333333,32,6.85,15.25,16.883333333333333,15.25,2,13.616666666666667,9.05,10.95,8.783333333333333,12,7.766666666666667,8.8,11.85,8.633333333333333,18,6.7
Lost in Blue,True,1,True,True,Role-Playing (RPG),True,Konami,True,69,0.07,24.95,Nintendo DS,T,True,2005,24.15,26.816666666666663,25.0,5,22.03333333333333,22.25,23.616666666666667,22.25,2,20.866666666666667,25.433333333333334,27.166666666666668,25.116666666666667,3,23.683333333333334,0.0,0.0,0.0,0,0.0
Def Jam: Icon,True,2,True,True,Action,True,EA,True,68,0.16,16.95,PlayStation 3,E,True,2007,8.0,8.25,8.0,2,7.75,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,8.0,8.25,8.0,2,7.75
Castlevania: Dawn of Sorrow,True,1,True,True,"Action,Role-Playing (RPG)",True,Konami,True,89,0.31,17.95,Nintendo DS,T,True,2005,16.033333333333335,62.45,13.0,130,9.75,30.016666666666666,69.18333333333334,26.0,19,20.25,15.483333333333333,32.36666666666667,14.0,63,10.533333333333331,11.216666666666669,16.15,10.416666666666666,48,7.9
TV Show King,True,4,True,True,Strategy,True,,True,65,0.19,17.95,Nintendo Wii,T,True,2008,30.0,30.0,30.0,2,30.0,30.0,30.0,30.0,2,30.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0
MTX Mototrax,True,1,True,True,"Racing / Driving,Sports",True,Activision,True,67,0.05,19.95,Sony PSP,M,True,2006,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0
Space Bust-A-Move,True,1,True,True,Strategy,True,SquareEnix,True,71,0.08,17.95,Nintendo DS,M,True,2008,4.016666666666667,5.516666666666667,4.016666666666667,2,2.5,7.033333333333333,7.033333333333333,7.033333333333333,1,7.033333333333333,0.0,0.0,0.0,0,0.0,1.0,1.0,1.0,1,1.0
Fantastic Four: Rise of the Silver Surfer,True,4,True,True,Action,True,2K,True,45,0.08,14.95,X360,E,True,2007,7.6,9.5,6.416666666666667,7,5.683333333333334,0.0,0.0,0.0,0,0.0,10.333333333333334,11.083333333333334,10.0,3,9.583333333333334,5.566666666666666,6.033333333333333,5.75,4,5.016666666666667
"Flower, Sun and Rain",True,1,True,True,Adventure,True,,True,54,0.04,23.95,Nintendo DS,M,True,2008,10.15,14.583333333333334,8.233333333333333,6,8.333333333333334,7.5,7.5,7.5,1,7.5,8.816666666666666,8.983333333333333,8.816666666666666,2,8.633333333333333,11.916666666666666,14.966666666666669,8.0,3,8.866666666666667
NFL Head Coach 09,True,1,True,True,"Simulation,Sports,Strategy",True,EA,True,64,0.1,14.95,PlayStation 3,T,True,2008,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0
Tiger Woods PGA Tour,True,1,True,True,Sports,True,EA,True,78,0.21,17.95,Sony PSP,E,True,2005,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0
Condemned 2: Bloodshot,True,1,True,True,"Action,Adventure",True,Sega,True,80,0.29,14.95,X360,T,True,2008,10.15,22.4,9.5,49,7.9,35.0,35.0,35.0,1,35.0,11.616666666666667,13.4,12.0,16,10.4,8.633333333333333,10.15,8.9,32,7.383333333333334
Brothers in Arms: Hell's Highway,True,1,True,True,Action,True,Ubisoft,True,76,0.42,19.95,PlayStation 3,T,True,2008,8.966666666666667,13.766666666666667,8.1,59,7.266666666666667,15.5,17.25,15.5,4,13.75,9.8,11.35,9.0,7,8.483333333333333,8.3,10.266666666666667,8.0,48,7.066666666666666
Trauma Center: Under The Knife 2,True,1,True,True,"Action,Simulation",True,,True,79,0.09,19.95,Nintendo DS,T,True,2008,12.0,18.133333333333333,10.533333333333331,16,9.2,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,12.0,18.133333333333333,10.533333333333331,16,9.2
Mario Kart Wii,True,4,True,True,Racing / Driving,True,Nintendo,True,82,12.39,29.95,Nintendo Wii,T,True,2008,11.4,30.133333333333333,9.116666666666667,108,6.133333333333334,19.116666666666667,31.516666666666666,17.0,29,14.216666666666669,13.25,30.8,10.0,30,8.3,5.7,12.666666666666666,5.0,49,3.6666666666666665
Sega Superstars Tennis,True,4,True,True,Sports,True,Sega,True,71,0.28,12.95,Nintendo Wii,E,True,2008,7.883333333333333,8.566666666666666,8.0,5,7.083333333333333,0.0,0.0,0.0,0,0.0,8.583333333333334,8.883333333333333,8.583333333333334,2,8.283333333333333,7.4,7.85,8.0,3,6.966666666666667
Sega Superstars Tennis,True,4,True,True,Sports,True,Sega,True,67,1.84,9.95,X360,E,True,2008,7.883333333333333,8.566666666666666,8.0,5,7.083333333333333,0.0,0.0,0.0,0,0.0,8.583333333333334,8.883333333333333,8.583333333333334,2,8.283333333333333,7.4,7.85,8.0,3,6.966666666666667
Elebits,True,4,True,True,Action,True,Konami,True,75,0.22,14.95,Nintendo Wii,T,True,2006,8.016666666666667,9.25,9.0,5,6.3,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,8.016666666666667,9.25,9.0,5,6.3
Medal of Honor: Airborne,True,2,True,True,Action,True,EA,True,73,0.45,17.95,X360,E,True,2007,6.383333333333334,9.1,6.0,81,4.233333333333333,11.0,11.433333333333334,10.75,3,10.55,7.666666666666667,9.466666666666669,8.2,17,6.45,5.8,7.616666666666667,6.0,61,4.083333333333333
NBA 2K6 ,True,1,True,True,Sports,True,2K,True,81,0.22,4.95,X360,E,True,2005,0.6166666666666667,0.7,0.5333333333333333,3,0.5333333333333333,0.6166666666666667,0.7,0.5333333333333333,3,0.5333333333333333,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0
Metal Gear Solid: Digital Graphic Novel,True,1,True,True,Adventure,True,Konami,True,78,0.02,17.95,Sony PSP,T,True,2006,3.183333333333333,3.4,3.033333333333333,4,3.05,3.0,3.0,3.0,1,3.0,0.0,0.0,0.0,0,0.0,3.25,3.4166666666666665,3.033333333333333,3,3.083333333333333
Ratchet & Clank: Size Matters,True,1,True,True,Action,True,Sony,True,85,1.47,14.95,Sony PSP,E,True,2007,8.016666666666667,14.8,7.116666666666666,49,6.016666666666667,16.033333333333335,19.28333333333333,17.0,4,12.316666666666666,7.866666666666667,10.983333333333333,7.116666666666666,12,5.983333333333333,7.116666666666666,10.516666666666667,7.0,33,5.833333333333333
Kane & Lynch: Dead Men,True,2,True,True,Action,True,Eidos,True,64,0.29,19.95,PlayStation 3,E,True,2007,5.933333333333334,11.816666666666666,6.0,124,4.483333333333333,9.55,11.633333333333333,9.0,4,7.75,6.633333333333333,10.733333333333333,6.333333333333333,25,4.783333333333333,5.6,11.733333333333333,6.0,95,4.4
Pro Evolution Soccer 2008,True,2,True,True,Sports,True,Konami,True,83,0.1,17.95,Nintendo Wii,T,True,2008,63.8,76.65,70.0,3,50.95,78.2,82.3,78.2,2,74.1,35.0,35.0,35.0,1,35.0,0.0,0.0,0.0,0,0.0
Summer Athletics 2009,True,4,True,True,Sports,True,,True,56,0.23,19.95,Nintendo Wii,M,True,2008,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0
Infinite Undiscovery,True,1,True,True,"Action,Role-Playing (RPG)",True,SquareEnix,True,68,0.27,17.95,X360,T,True,2008,34.833333333333336,90.2,26.0,49,20.7,150.0,150.0,150.0,2,150.0,40.61666666666667,48.7,40.2,16,32.45,24.433333333333334,51.93333333333333,22.3,31,17.183333333333334
Tony Hawk's Proving Ground,True,2,True,True,Sports,True,Activision,True,72,0.51,16.95,X360,T,True,2007,8.133333333333333,8.133333333333333,8.133333333333333,1,8.133333333333333,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,8.133333333333333,8.133333333333333,8.133333333333333,1,8.133333333333333
Age of Empires: The Age of Kings,True,1,True,True,Strategy,True,,True,80,0.19,17.95,Nintendo DS,T,True,2006,57.85,156.95,50.0,38,32.78333333333333,62.41666666666666,83.1,70.0,9,39.1,75.93333333333334,164.23333333333332,61.0,10,40.06666666666667,46.15,73.03333333333333,46.0,19,29.03333333333333
Cradle of Rome,True,1,True,True,Strategy,True,,True,63,0.04,17.95,Nintendo DS,E,True,2008,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0
Bullet Witch,True,1,True,True,Action,True,Atari,True,55,0.06,16.95,X360,M,True,2006,8.533333333333333,11.5,7.5,12,5.5,15.0,15.0,15.0,1,15.0,12.416666666666666,12.85,13.0,3,11.966666666666669,6.266666666666667,8.133333333333333,6.283333333333333,8,4.633333333333333
Puzzle Quest: Challenge of the Warlords,True,1,True,True,"Role-Playing (RPG),Strategy",True,,True,84,0.01,17.95,Sony PSP,T,True,2007,41.16666666666666,59.78333333333333,40.0,58,27.78333333333333,54.56666666666667,62.63333333333333,56.0,7,47.63333333333333,40.95,59.85,40.5,30,27.85,37.016666666666666,47.5,35.0,21,29.0
NFL Tour,True,1,True,True,"Action,Sports",True,EA,True,49,0.1,12.95,X360,M,True,2008,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0
Gretzky NHL,True,2,True,True,Sports,True,Sony,True,61,0.1,9.95,Sony PSP,E,True,2005,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0
Mushroom Men: The Spore Wars,True,2,True,True,Action,True,,True,72,0.12,17.95,Nintendo Wii,E,True,2008,5.516666666666667,6.866666666666667,5.95,5,3.6166666666666663,0.0,0.0,0.0,0,0.0,7.2,7.716666666666667,7.666666666666667,3,6.683333333333334,3.0,3.75,3.0,2,2.25
Resistance 2,True,2,True,True,Action,True,Sony,True,87,1.11,24.95,PlayStation 3,E,True,2008,10.583333333333334,20.133333333333333,10.0,131,8.266666666666667,15.25,16.366666666666667,15.25,2,14.116666666666667,12.35,21.05,11.866666666666667,24,9.8,10.1,16.766666666666666,10.0,105,8.133333333333333
The BIGS,True,1,True,True,"Action,Simulation,Sports",True,2K,True,72,0.11,16.95,Sony PSP,M,True,2007,16.816666666666666,30.066666666666663,10.133333333333333,4,6.916666666666667,46.68333333333333,46.68333333333333,46.68333333333333,1,46.68333333333333,0.0,0.0,0.0,0,0.0,6.866666666666667,11.7,0.5333333333333333,3,2.033333333333333
Spore Creatures,True,1,True,True,"Adventure,Simulation",True,EA,True,65,0.7,14.95,Nintendo DS,T,True,2008,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0
NCAA March Madness 08,True,4,True,True,Sports,True,EA,True,67,0.08,12.95,PlayStation 3,E,True,2007,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0
Harry Potter and the Order of the Phoenix,True,1,True,True,Action,True,EA,True,52,0.1,16.95,Sony PSP,E,True,2007,12.383333333333333,15.65,12.25,25,8.816666666666666,15.2,17.05,15.0,10,14.05,10.0,10.0,10.0,1,10.0,10.533333333333331,14.133333333333333,10.0,14,7.8
Every Extend Extra,True,1,True,True,Action,True,,True,74,0.06,11.95,Sony PSP,E,True,2006,12.0,12.0,12.0,1,12.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,12.0,12.0,12.0,1,12.0
Ninja Gaiden Sigma,True,1,True,True,Action,True,,True,88,0.57,19.95,PlayStation 3,E,True,2007,14.933333333333334,19.866666666666667,14.533333333333331,36,11.333333333333334,16.0,16.0,16.0,1,16.0,15.783333333333331,19.433333333333334,16.0,9,12.2,14.583333333333334,19.683333333333334,14.15,26,11.15
The Chronicles of Narnia: Prince Caspian,True,2,True,True,"Action,Role-Playing (RPG)",True,Disney,True,56,0.13,14.95,X360,M,True,2008,12.816666666666666,15.116666666666667,11.65,4,11.116666666666667,11.65,11.816666666666666,11.65,2,11.483333333333333,0.0,0.0,0.0,0,0.0,14.0,16.0,14.0,2,12.0
Beautiful Katamari,True,1,True,True,Action,True,Namco,True,73,0.11,17.95,X360,M,True,2007,14.55,55.13333333333333,6.0,33,6.3,100.0,100.0,100.0,2,100.0,18.116666666666667,32.516666666666666,8.0,8,8.516666666666667,5.866666666666667,8.283333333333333,6.0,23,4.133333333333334
Worms: Open Warfare,True,1,True,True,"Action,Strategy",True,THQ,True,70,0.12,17.95,Sony PSP,T,True,2006,9.116666666666667,9.55,9.116666666666667,2,8.683333333333334,10.0,10.0,10.0,1,10.0,0.0,0.0,0.0,0,0.0,8.25,8.25,8.25,1,8.25
SEGA Rally Revo,True,2,True,True,"Racing / Driving,Simulation",True,Sega,True,77,0.1,14.95,X360,E,True,2007,34.0,34.0,34.0,1,34.0,34.0,34.0,34.0,1,34.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0
Overlord: Raising Hell,True,2,True,True,"Action,Strategy",True,,True,72,0.05,17.95,PlayStation 3,T,True,2008,21.98333333333333,53.61666666666667,14.5,43,10.566666666666666,38.61666666666667,63.4,37.0,15,24.9,14.1,22.83333333333333,11.75,18,8.666666666666666,11.233333333333333,24.433333333333334,8.5,10,6.383333333333334
Harvey Birdman: Attorney at Law,True,1,True,True,Adventure,True,Capcom,True,62,0.05,14.95,Sony PSP,M,True,2008,4.133333333333334,5.566666666666666,4.0,11,3.6166666666666663,7.066666666666666,7.066666666666666,7.066666666666666,1,7.066666666666666,0.0,0.0,0.0,0,0.0,3.85,4.266666666666667,3.75,10,3.4833333333333334
Burnout Legends,True,1,True,True,"Action,Racing / Driving",True,EA,True,38,0.16,17.95,Nintendo DS,E,True,2005,12.833333333333334,18.2,12.0,14,9.0,15.366666666666667,18.916666666666668,16.25,4,11.383333333333333,14.083333333333334,18.516666666666666,12.0,7,10.033333333333331,6.516666666666667,6.866666666666667,7.0,3,6.166666666666667
Pure,True,1,True,True,"Racing / Driving,Sports",True,Disney,True,83,0.36,17.95,PlayStation 3,M,True,2008,13.666666666666666,19.166666666666668,13.0,13,10.033333333333331,16.666666666666668,19.916666666666668,13.0,3,13.416666666666666,14.666666666666666,19.166666666666668,14.0,6,12.166666666666666,9.933333333333334,12.6,8.5,4,7.983333333333333
Marvel Trading Card Game,True,1,True,True,Strategy,True,Konami,True,61,0.1,16.95,Nintendo DS,M,True,2007,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0
Spider-Man: Web of Shadows,True,1,True,True,Action,True,Activision,True,68,0.36,19.95,X360,E,True,2008,12.566666666666666,16.783333333333335,12.0,24,9.383333333333333,19.633333333333333,20.45,19.633333333333333,2,18.816666666666663,13.15,14.416666666666666,12.0,11,12.266666666666667,10.7,12.916666666666666,11.0,11,8.666666666666666
